,species,year,count
194,Vanessa cardui,1994,104
195,Vanessa atalanta,1995,42
196,Nymphalis antiopa,1995,42
197,Vanessa cardui,1995,42
198,Nymphalis xanthomelas,1995,42
199,Inachis io,1995,42
200,Papilio machaon,1995,42
201,Apatura ilia,1995,42
202,Issoria lathonia,1995,42
203,Pararge aegeria,1995,42
204,Aphantopus hyperanthus,1995,42
205,Polygonia c-album,1995,42
206,Araschnia levana,1995,42
207,Nymphalis polychloros,1995,42
208,Aglais urticae,1995,42
209,Aporia crataegi,1995,42
210,Pararge aegeria,1996,91
211,Vanessa atalanta,1996,91
212,Vanessa cardui,1996,91
213,Nymphalis polychloros,1996,91
214,Araschnia levana,1996,91
215,Nymphalis xanthomelas,1996,91
216,Nymphalis antiopa,1996,91
217,Polygonia c-album,1996,91
218,Apatura ilia,1996,91
219,Inachis io,1996,91
220,Papilio machaon,1996,91
221,Aporia crataegi,1996,91
222,Aphantopus hyperanthus,1996,91
223,Aglais urticae,1996,91
224,Issoria lathonia,1996,91
225,Apatura ilia,1997,2
226,Nymphalis polychloros,1997,2
227,Issoria lathonia,1997,2
228,Vanessa atalanta,1997,2
229,Pararge aegeria,1997,2
230,Nymphalis antiopa,1997,2
231,Vanessa cardui,1997,2
232,Papilio machaon,1997,2
233,Araschnia levana,1997,2
234,Aporia crataegi,1997,2
235,Nymphalis xanthomelas,1997,2
236,Aglais urticae,1997,2
237,Polygonia c-album,1997,2
238,Aphantopus hyperanthus,1997,2
239,Inachis io,1997,2
240,Vanessa cardui,1998,5
241,Araschnia levana,1998,5
242,Papilio machaon,1998,5
243,Nymphalis xanthomelas,1998,5
244,Nymphalis antiopa,1998,5
245,Issoria lathonia,1998,5
246,Polygonia c-album,1998,5
247,Aphantopus hyperanthus,1998,5
248,Pararge aegeria,1998,5
249,Apatura ilia,1998,5
250,Inachis io,1998,5
251,Aglais urticae,1998,5
252,Vanessa atalanta,1998,5
253,Nymphalis polychloros,1998,5
254,Aporia crataegi,1998,5
255,Inachis io,1999,27
256,Vanessa atalanta,1999,27
257,Polygonia c-album,1999,27
258,Issoria lathonia,1999,27
259,Aphantopus hyperanthus,1999,27
260,Aporia crataegi,1999,27
261,Nymphalis xanthomelas,1999,27
262,Nymphalis polychloros,1999,27
263,Papilio machaon,1999,27
264,Nymphalis antiopa,1999,27
265,Pararge aegeria,1999,27
266,Vanessa cardui,1999,27
267,Araschnia levana,1999,27
268,Aglais urticae,1999,27
269,Apatura ilia,1999,27
270,Araschnia levana,2000,0
271,Aglais urticae,2000,0
272,Nymphalis antiopa,2000,0
273,Papilio machaon,2000,0
274,Polygonia c-album,2000,0
275,Issoria lathonia,2000,0
276,Apatura ilia,2000,0
277,Vanessa atalanta,2000,0
278,Nymphalis polychloros,2000,0
279,Aporia crataegi,2000,0
280,Pararge aegeria,2000,0
281,Vanessa cardui,2000,0
282,Inachis io,2000,0
283,Aphantopus hyperanthus,2000,0
284,Nymphalis xanthomelas,2000,0
285,Pararge aegeria,2001,8
286,Nymphalis xanthomelas,2001,8
287,Vanessa atalanta,2001,8
288,Polygonia c-album,2001,8
289,Vanessa cardui,2001,8
290,Papilio machaon,2001,8
291,Nymphalis polychloros,2001,8
292,Nymphalis antiopa,2001,8
293,Issoria lathonia,2001,8
294,Aglais urticae,2001,8
295,Aphantopus hyperanthus,2001,8
296,Araschnia levana,2001,8
297,Apatura ilia,2001,8
298,Aporia crataegi,2001,8
299,Inachis io,2001,8
300,Vanessa atalanta,2002,18
301,Vanessa cardui,2002,18
302,Issoria lathonia,2002,18
303,Papilio machaon,2002,18
304,Polygonia c-album,2002,18
305,Aporia crataegi,2002,18
306,Aphantopus hyperanthus,2002,18
307,Apatura ilia,2002,18
308,Inachis io,2002,18
309,Nymphalis polychloros,2002,18
310,Nymphalis xanthomelas,2002,18
311,Pararge aegeria,2002,18
312,Nymphalis antiopa,2002,18
313,Araschnia levana,2002,18
314,Aglais urticae,2002,18
315,Papilio machaon,2003,3
316,Pararge aegeria,2003,3
317,Issoria lathonia,2003,3
318,Polygonia c-album,2003,3
319,Araschnia levana,2003,3
320,Vanessa cardui,2003,3
321,Aglais urticae,2003,3
322,Aporia crataegi,2003,3
323,Aphantopus hyperanthus,2003,3
324,Apatura ilia,2003,3
325,Nymphalis polychloros,2003,3
326,Vanessa atalanta,2003,3
327,Nymphalis xanthomelas,2003,3
328,Inachis io,2003,3
329,Nymphalis antiopa,2003,3
330,Nymphalis xanthomelas,2004,27
331,Aglais urticae,2004,27
332,Aphantopus hyperanthus,2004,27
333,Polygonia c-album,2004,27
334,Araschnia levana,2004,27
335,Pararge aegeria,2004,27
336,Inachis io,2004,27
337,Nymphalis polychloros,2004,27
338,Vanessa cardui,2004,27
339,Papilio machaon,2004,27
340,Vanessa atalanta,2004,27
341,Apatura ilia,2004,27
342,Aporia crataegi,2004,27
343,Issoria lathonia,2004,27
344,Nymphalis antiopa,2004,27
345,Nymphalis antiopa,2005,1
346,Nymphalis xanthomelas,2005,1
347,Aphantopus hyperanthus,2005,1
348,Aglais urticae,2005,1
349,Vanessa atalanta,2005,1
350,Inachis io,2005,1
351,Vanessa cardui,2005,1
352,Apatura ilia,2005,1
353,Issoria lathonia,2005,1
354,Polygonia c-album,2005,1
355,Aporia crataegi,2005,1
356,Pararge aegeria,2005,1
357,Nymphalis polychloros,2005,1
358,Araschnia levana,2005,1
359,Papilio machaon,2005,1
360,Vanessa atalanta,2006,2
361,Nymphalis polychloros,2006,2
362,Pararge aegeria,2006,2
363,Inachis io,2006,2
364,Polygonia c-album,2006,2
365,Aphantopus hyperanthus,2006,2
366,Aglais urticae,2006,2
367,Nymphalis xanthomelas,2006,2
368,Nymphalis antiopa,2006,2
369,Araschnia levana,2006,2
370,Apatura ilia,2006,2
371,Aporia crataegi,2006,2
372,Issoria lathonia,2006,2
373,Vanessa cardui,2006,2
374,Papilio machaon,2006,2
375,Nymphalis antiopa,2007,14
376,Aporia crataegi,2007,14
377,Araschnia levana,2007,14
378,Pararge aegeria,2007,14
379,Vanessa cardui,2007,14
380,Nymphalis xanthomelas,2007,14
381,Vanessa atalanta,2007,14
382,Aphantopus hyperanthus,2007,14
383,Papilio machaon,2007,14
384,Inachis io,2007,14
385,Nymphalis polychloros,2007,14
386,Aglais urticae,2007,14
387,Apatura ilia,2007,14
388,Issoria lathonia,2007,14
389,Polygonia c-album,2007,14
390,Aphantopus hyperanthus,2008,5
391,Aglais urticae,2008,5
392,Papilio machaon,2008,5
393,Nymphalis polychloros,2008,5
394,Apatura ilia,2008,5
395,Pararge aegeria,2008,5
396,Aporia crataegi,2008,5
397,Nymphalis antiopa,2008,5
398,Issoria lathonia,2008,5
399,Vanessa cardui,2008,5
400,Inachis io,2008,5
401,Nymphalis xanthomelas,2008,5
402,Vanessa atalanta,2008,5
403,Polygonia c-album,2008,5
404,Araschnia levana,2008,5
405,Papilio machaon,2009,6
406,Aporia crataegi,2009,6
407,Inachis io,2009,6
408,Nymphalis polychloros,2009,6
409,Issoria lathonia,2009,6
410,Polygonia c-album,2009,6
411,Aphantopus hyperanthus,2009,6
412,Nymphalis xanthomelas,2009,6
413,Araschnia levana,2009,6
414,Vanessa atalanta,2009,6
415,Nymphalis antiopa,2009,6
416,Aglais urticae,2009,6
417,Pararge aegeria,2009,6
418,Vanessa cardui,2009,6
419,Apatura ilia,2009,6
420,Aporia crataegi,2010,3
421,Nymphalis antiopa,2010,3
422,Aglais urticae,2010,3
423,Issoria lathonia,2010,3
424,Papilio machaon,2010,3
425,Vanessa atalanta,2010,3
426,Araschnia levana,2010,3
427,Nymphalis polychloros,2010,3
428,Polygonia c-album,2010,3
429,Inachis io,2010,3
430,Nymphalis xanthomelas,2010,3
431,Aphantopus hyperanthus,2010,3
432,Pararge aegeria,2010,3
433,Vanessa cardui,2010,3
434,Apatura ilia,2010,3
435,Apatura ilia,2011,7
436,Polygonia c-album,2011,7
437,Aphantopus hyperanthus,2011,7
438,Vanessa atalanta,2011,7
439,Pararge aegeria,2011,7
440,Aporia crataegi,2011,7
441,Aglais urticae,2011,7
442,Issoria lathonia,2011,7
443,Inachis io,2011,7
444,Nymphalis xanthomelas,2011,7
445,Vanessa cardui,2011,7
446,Nymphalis polychloros,2011,7
447,Nymphalis antiopa,2011,7
448,Araschnia levana,2011,7
449,Papilio machaon,2011,7
450,Pararge aegeria,2012,3
451,Issoria lathonia,2012,3
452,Aphantopus hyperanthus,2012,3
453,Nymphalis antiopa,2012,3
454,Nymphalis xanthomelas,2012,3
455,Araschnia levana,2012,3
456,Apatura ilia,2012,3
457,Polygonia c-album,2012,3
458,Papilio machaon,2012,3
459,Aglais urticae,2012,3
460,Nymphalis polychloros,2012,3
461,Vanessa cardui,2012,3
462,Inachis io,2012,3
463,Aporia crataegi,2012,3
464,Vanessa atalanta,2012,3
465,Inachis io,2013,6
466,Aphantopus hyperanthus,2013,6
467,Polygonia c-album,2013,6
468,Nymphalis xanthomelas,2013,6
469,Apatura ilia,2013,6
470,Nymphalis polychloros,2013,6
471,Vanessa cardui,2013,6
472,Papilio machaon,2013,6
473,Pararge aegeria,2013,6
474,Issoria lathonia,2013,6
475,Aporia crataegi,2013,6
476,Aglais urticae,2013,6
477,Vanessa atalanta,2013,6
478,Araschnia levana,2013,6
479,Nymphalis antiopa,2013,6
480,Araschnia levana,2014,5
481,Aporia crataegi,2014,5
482,Inachis io,2014,5
483,Aglais urticae,2014,5
484,Vanessa atalanta,2014,5
485,Papilio machaon,2014,5
486,Pararge aegeria,2014,5
487,Nymphalis polychloros,2014,5
488,Aphantopus hyperanthus,2014,5
489,Polygonia c-album,2014,5
490,Issoria lathonia,2014,5
491,Nymphalis xanthomelas,2014,5
492,Apatura ilia,2014,5
493,Vanessa cardui,2014,5
494,Nymphalis antiopa,2014,5
495,Issoria lathonia,2015,6
496,Nymphalis antiopa,2015,6
497,Polygonia c-album,2015,6
498,Vanessa atalanta,2015,6
499,Aglais urticae,2015,6
500,Apatura ilia,2015,6
501,Vanessa cardui,2015,6
502,Aporia crataegi,2015,6
503,Nymphalis polychloros,2015,6
504,Pararge aegeria,2015,6
